cve_id,component,severity,cvss_vector,year,version_rule,ref_count,summary
CVE-2024-0082,ChatRTX,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H,2024,"version <= ""0.2""",1,NVIDIA ChatRTX 存在权限管理不当漏洞
CVE-2024-10707,Chuanhugpt,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,2024,,2,由于gradio组件问题，gaizhenbiao/chuanhuchatgpt中存在本地文件包含漏洞
CVE-2024-10955,Chuanhugpt,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,2024,,2,gaizhenbiao/chuanhuchatgpt中的正则表达式拒绝服务（ReDoS）漏洞
CVE-2024-2217,Chuanhugpt,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2024,,3,Chuanhugpt 访问控制不当漏洞
CVE-2024-3402,Chuanhugpt,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:N/A:N,2024,"version = ""20240121""",2,Chuanhugpt 存储型跨站脚本（XSS）漏洞
CVE-2024-3404,Chuanhugpt,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,2024,"version = ""20240121""",2,Chuanhugpt 访问控制漏洞
CVE-2024-4321,Chuanhugpt,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2024,"version = ""20240310""",2,Chuanhugpt 本地文件包含漏洞
CVE-2024-4520,Chuanhugpt,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2024,"version <= ""20240410""",2,Chuanhugpt 应用程序不当访问控制漏洞
CVE-2024-48059,Chuanhugpt,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,2024,"version <= ""20240802""",3,Chuanhugpt 存储型跨站脚本（XSS）漏洞
CVE-2024-5124,Chuanhugpt,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2024,"version < ""20240310""",3,Chuanhugpt 密码比较逻辑中的定时攻击漏洞
CVE-2024-5278,Chuanhugpt,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,2024,,2,Chuanhugpt 存在不受限制的文件上传漏洞
CVE-2024-5823,Chuanhugpt,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L,2024,"version <= ""20240410""",3,Chuanhugpt 文件覆盖漏洞
CVE-2024-5982,Chuanhugpt,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H,2024,,3,Chuanhugpt 路径遍历漏洞
CVE-2024-6035,Chuanhugpt,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:N,2024,"version == ""20240410""",2,Chuanhuchatgpt 存储型跨站脚本（XSS）漏洞
CVE-2024-6036,Chuanhugpt,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2024,"version == ""20240410""",2,Chuanhugpt 任意重启服务器漏洞
CVE-2024-6037,Chuanhugpt,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2024,"version < ""20240410""",2,Chuanhugpt 任意文件夹创建漏洞
CVE-2024-6038,Chuanhugpt,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2024,,2,Chuanhugpt的正则表达式拒绝服务（ReDoS）漏洞
CVE-2024-6090,Chuanhugpt,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2024,"version == ""20240410""",2,Chuanhugpt 存在路径遍历漏洞
CVE-2024-6255,Chuanhugpt,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:H,2024,"version == ""20240410""",2,Chuanhuchatgpt JSON文件处理漏洞
CVE-2024-7807,Chuanhugpt,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2024,"version = ""20240628""",3,ChuanhuChatGPT拒绝服务漏洞
CVE-2024-7962,Chuanhugpt,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2024,"version == ""20240628""",3,Chuanhugpt 任意文件读取漏洞
CVE-2024-8143,Chuanhugpt,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,2024,"version == ""20240628""",3,Chuanhugpt 用户聊天记录泄露漏洞
CVE-2024-8400,Chuanhugpt,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,2024,,3,gaizhenbiao/chuanhuchatgpt中存在存储型跨站脚本（XSS）漏洞
CVE-2024-8613,Chuanhugpt,HIGH,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,2024,"version < ""20240803""",3,Chuanhugpt中的漏洞允许未经授权访问聊天记录。
CVE-2024-9107,Chuanhugpt,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:N/A:N,2024,"version < """"",2,Chuanhugpt聊天GPT中存在存储型跨站脚本（XSS）漏洞
CVE-2024-9159,Chuanhugpt,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,2024,"version == ""git c91dbfc""",2,gaizhenbiao/chuanhuchatgpt中存在不正确的授权漏洞，允许任何用户重启服务器。
CVE-2025-0188,Chuanhugpt,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,2025,"version < ""20240915""",2,gaizhenbiao/chuanhuchatgpt中的服务器端请求伪造（SSRF）漏洞
CVE-2025-0191,Chuanhugpt,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,2025,"version == ""20240914""",2,文件上传功能中的拒绝服务（DoS）漏洞
CVE-2024-21577,ComfyUI-Ace-Nodes,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,2024,,2,ComfyUI-Ace-Nodes 存在代码注入漏洞
CVE-2024-21576,ComfyUI-Bmad-Nodes,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,2024,,2,ComfyUI-Bmad-Nodes 存在代码注入漏洞
CVE-2024-21575,ComfyUI-Impact-Pack,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:N/I:H/A:N,2024,,3,ComfyUI-Impact-Pack 存在路径遍历漏洞
CVE-2024-21574,ComfyUI-Manager,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,2024,,3,ComfyUI 安装自定义节点时的远程代码执行漏洞
CVE-2024-10252,Dify,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,2024,"version <= ""0.9.1""",3,Dify Sandbox逃逸漏洞
CVE-2024-11821,Dify,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,2024,"version == ""0.9.1""",2,Dify中的权限提升漏洞，可修改Orchestrate指令
CVE-2024-11822,Dify,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,2024,"version < ""0.9.1""",2,langgenius/dify中的服务器端请求伪造(SSRF)漏洞
CVE-2024-11824,Dify,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:C/C:H/I:H/A:N,2024,"version < ""0.12.1""",3,Dify聊天机器人日志中存在存储型XSS漏洞
CVE-2024-11850,Dify,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:N/A:N,2024,,2,Dify 中的存储型 XSS 漏洞
CVE-2024-12039,Dify,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:N,2024,"version = ""0.10.1""",2,Dify 密码重置码猜测次数过多导致管理员账号接管漏洞
CVE-2024-12775,Dify,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,2024,"version = ""0.10.1""",2,dify中的非盲SSRF漏洞
CVE-2024-12776,Dify,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:H,2024,"version < ""0.10.2""",3,Dify 密码重置漏洞导致管理员账号接管
CVE-2025-0184,Dify,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:N,2025,"version < ""0.11.0""",0,Dify的WordExtractor中存在服务器端请求伪造(SSRF)漏洞
CVE-2025-0185,Dify,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,2025,,3,Dify 工具 Vanna 模块的 Pandas 查询注入漏洞
CVE-2025-11750,Dify,MEDIUM,CVSS:3.0/AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,2025,"version = ""1.6.0""",2,Dify-web 用户枚举漏洞通过不同的错误消息。
CVE-2025-1796,Dify,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,2025,"version < ""0.10.2""",3,Dify 使用弱伪随机数生成器生成密码重置码导致管理员账户接管漏洞
CVE-2025-29720,Dify,MEDIUM,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:L/I:L/A:L,2025,"version < ""1.0.1""",3,Dify v1.0包含一个服务器端请求伪造(SSRF)漏洞。
CVE-2025-3466,Dify,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2025,"version >= ""1.1.0"" && version <= ""1.1.2""",3,Dify中由于代码节点输入未过滤导致的任意代码执行漏洞
