component,cve,summary,severity,cvss,rule,has_poc,references_count,file
AI-Agent-Config,,AI Agent 配置文件公开访问导致敏感信息泄露（MCP Server 配置、API 密钥）,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,,False,2,agent-config-disclosure.yaml
ChatRTX,CVE-2024-0082,NVIDIA ChatRTX 存在权限管理不当漏洞,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H,"version <= ""0.2""",False,1,CVE-2024-0082.yaml
Chuanhugpt,CVE-2024-10707,由于gradio组件问题，gaizhenbiao/chuanhuchatgpt中存在本地文件包含漏洞,中等,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,,False,2,CVE-2024-10707.yaml
Chuanhugpt,CVE-2024-10955,gaizhenbiao/chuanhuchatgpt中的正则表达式拒绝服务（ReDoS）漏洞,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,,False,2,CVE-2024-10955.yaml
Chuanhugpt,CVE-2024-2217,Chuanhugpt 访问控制不当漏洞,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,,False,3,CVE-2024-2217.yaml
Chuanhugpt,CVE-2024-3402,Chuanhugpt 存储型跨站脚本（XSS）漏洞,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:N/A:N,"version = ""20240121""",False,2,CVE-2024-3402.yaml
Chuanhugpt,CVE-2024-3404,Chuanhugpt 访问控制漏洞,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,"version = ""20240121""",False,2,CVE-2024-3404.yaml
Chuanhugpt,CVE-2024-4321,Chuanhugpt 本地文件包含漏洞,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,"version = ""20240310""",False,2,CVE-2024-4321.yaml
Chuanhugpt,CVE-2024-4520,Chuanhugpt 应用程序不当访问控制漏洞,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,"version <= ""20240410""",False,2,CVE-2024-4520.yaml
Chuanhugpt,CVE-2024-48059,Chuanhugpt 存储型跨站脚本（XSS）漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,"version <= ""20240802""",False,3,CVE-2024-48059.yaml
Chuanhugpt,CVE-2024-5124,Chuanhugpt 密码比较逻辑中的定时攻击漏洞,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,"version < ""20240310""",False,3,CVE-2024-5124.yaml
Chuanhugpt,CVE-2024-5278,Chuanhugpt 存在不受限制的文件上传漏洞,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,,False,2,CVE-2024-5278.yaml
Chuanhugpt,CVE-2024-5823,Chuanhugpt 文件覆盖漏洞,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L,"version <= ""20240410""",False,3,CVE-2024-5823.yaml
Chuanhugpt,CVE-2024-5982,Chuanhugpt 路径遍历漏洞,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H,,False,3,CVE-2024-5982.yaml
Chuanhugpt,CVE-2024-6035,Chuanhuchatgpt 存储型跨站脚本（XSS）漏洞,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:N,"version == ""20240410""",False,2,CVE-2024-6035.yaml
Chuanhugpt,CVE-2024-6036,Chuanhugpt 任意重启服务器漏洞,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"version == ""20240410""",False,2,CVE-2024-6036.yaml
Chuanhugpt,CVE-2024-6037,Chuanhugpt 任意文件夹创建漏洞,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"version < ""20240410""",False,2,CVE-2024-6037.yaml
Chuanhugpt,CVE-2024-6038,Chuanhugpt的正则表达式拒绝服务（ReDoS）漏洞,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,False,2,CVE-2024-6038.yaml
Chuanhugpt,CVE-2024-6090,Chuanhugpt 存在路径遍历漏洞,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"version == ""20240410""",False,2,CVE-2024-6090.yaml
Chuanhugpt,CVE-2024-6255,Chuanhuchatgpt JSON文件处理漏洞,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:H,"version == ""20240410""",False,2,CVE-2024-6255.yaml
Chuanhugpt,CVE-2024-7807,ChuanhuChatGPT拒绝服务漏洞,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"version = ""20240628""",False,3,CVE-2024-7807.yaml
Chuanhugpt,CVE-2024-7962,Chuanhugpt 任意文件读取漏洞,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,"version == ""20240628""",False,3,CVE-2024-7962.yaml
Chuanhugpt,CVE-2024-8143,Chuanhugpt 用户聊天记录泄露漏洞,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,"version == ""20240628""",False,3,CVE-2024-8143.yaml
Chuanhugpt,CVE-2024-8400,gaizhenbiao/chuanhuchatgpt中存在存储型跨站脚本（XSS）漏洞,中等,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,,False,3,CVE-2024-8400.yaml
Chuanhugpt,CVE-2024-8613,Chuanhugpt中的漏洞允许未经授权访问聊天记录。,高,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,"version < ""20240803""",False,3,CVE-2024-8613.yaml
Chuanhugpt,CVE-2024-9107,Chuanhugpt聊天GPT中存在存储型跨站脚本（XSS）漏洞,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:N/A:N,"version < """"",False,2,CVE-2024-9107.yaml
Chuanhugpt,CVE-2024-9159,gaizhenbiao/chuanhuchatgpt中存在不正确的授权漏洞，允许任何用户重启服务器。,中等,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,"version == ""git c91dbfc""",False,2,CVE-2024-9159.yaml
Chuanhugpt,CVE-2025-0188,gaizhenbiao/chuanhuchatgpt中的服务器端请求伪造（SSRF）漏洞,中等,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,"version < ""20240915""",False,2,CVE-2025-0188.yaml
Chuanhugpt,CVE-2025-0191,文件上传功能中的拒绝服务（DoS）漏洞,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,"version == ""20240914""",False,2,CVE-2025-0191.yaml
